Photo Profile;User Name;Sentimen;Sejak Comment;Comment;Jumlah Like Comment
https://lh3.googleusercontent.com/a-/ALV-UjU9YG22yPepinncqPttov4qzEt3kYUrE1rR4mW0Z0YWXfw=w45-h45-p-rp-mo-ba5-br100;edi setijawan;Positive;4 hari lalu;Mall favorite di bandung, menawarkan branded fashion dan restaurant kelas menengah atas. Suasananya nyaman. Selain belanja baju saya juga mampir makan siang di restaurant jepang. Tempat parkir luas. Ramah anak.;3
https://lh3.googleusercontent.com/a-/ALV-UjW4jCac26APQmI-ObzhlBt-z6qDMkUDSvwchVor_RCmsDU=w45-h45-p-rp-mo-ba4-br100;Yustina Dwilia Pebrinia (Justina Dwilia);Positive;sebulan lalu;konsep mall yang unik hehe, 11rb langkah ga kerasa jalan disini. cuma aku ga suka 1, toilet cowo pesing banget pas aku lewatin saat mau ke musholla. cuma mungkin yg perlu ditambahin dari tempat ini adalah penunjuk arah gitu, biar ga mudah nyasar hehehe;4
https://lh3.googleusercontent.com/a-/ALV-UjV7q2ZB7gsxREipWgxYVQgujUZZrFEZGcwU_a-ThVbWgDM=w45-h45-p-rp-mo-ba2-br100;Alexandra Ruszaika;Positive;sebulan lalu;Such a nice place, mall nya luas banget.. Adem dengan konsep alamnya dapet karna mudah jalan2 tapi tetep adem alias teduh semua tenant, bioskop cgv, dan sebagainya tersedia dalam satu mall.;4
https://lh3.googleusercontent.com/a-/ALV-UjVuYcjl7ol49KBN9bWUfIWhim6Hd2_bEVwluPnAUCxhIg=w45-h45-p-rp-mo-ba5-br100;dony Setiawan;Positive;4 bulan lalu;Salah satu mall yang terletak di bandung didaerah setiabudi Salah satu mall yang cukup menjadi favorit saya ketika berkunjung ke Bandung. Lokasinya strategis tidak terlalu jauh dari exit tol Pasteur. Specialnya, tenant tenant disini …;10
https://lh3.googleusercontent.com/a/ACg8ocJ9IlYiRj2jqpAhq3xPFGAAZ1fnUEtKI4dAwiZ2K0pm=w45-h45-p-rp-mo-ba5-br100;Marvello Tanzha;Positive;3 minggu lalu;Tempatnya luas banget sampe bingung pas muter nggak bisa balik lagi, ada air mancurnya di atas bagus banget, toiletnya bagus, banyak tempat fotonya juga.;17
https://lh3.googleusercontent.com/a-/ALV-UjW015EhrGeST5vJEmdpKbXxnMuO3CnUO2vvGMR-lKx4j74=w45-h45-p-rp-mo-ba4-br100;Subhan Putra;Positive;2 bulan lalu;PVJ adl salah satu pusat perbelanjaan terkenal di kota Bandung yg menawarkan berbagai jenis kebutuhan mulai dari fashion, produk kecantikan dan kesehatan, kuliner, hingga hiburan. Bagi kalian yg suka kuliner. Untuk makanan Ada Sushi tei, …;3
https://lh3.googleusercontent.com/a-/ALV-UjWulB_Rd6iMtPYKnxCP-DQLB1l57yO4APT37Z2NjpRrgw=w45-h45-p-rp-mo-ba5-br100;Agung Prasetyo;Positive;4 bulan lalu;Mall super luas di area Bandung utara menyimpan begitu banyak pengalaman untuk dicoba. Yang sangat jadi pembeda dengan mall lain adalah terdapat bioskop 4DX, rooftop garden, air terjun indoor, dan konsep mall semi outdoor …;11
https://lh3.googleusercontent.com/a-/ALV-UjWYoVozGf16V1e0spV_XWaKvuYOQPw5xoRHuQMJIrgzy0Y=w45-h45-p-rp-mo-ba6-br100;Wahyu Agus Yunianto;Positive;2 bulan lalu;Shopping mall terbaik dan legend di kota Bandung. Konsep semi outdoor sangat unik dan menarik, mirip galleries lafayette di paris atau Gotemba premium outlet di Jepang, tenant yang hadir sangat beragam, mulai dari highend sampai gerai UMKM banyak pilihan ditempat ini. Kuliner nya banyak pilihan. Selalu suka kalo berada di tempat ini.;9
https://lh3.googleusercontent.com/a-/ALV-UjX8LnhcsEnhbd7pn0rxg1ESZZdLRw8ix2teHYUJcT4FbA=w45-h45-p-rp-mo-br100;Erlangga Triputra;Positive;3 hari lalu;Di Shaburi, Saya memesan paket Special, dimana yang paling membedakan adalah daging Angus nya. Ada serat-serat dan lemaknya juga, enak sih jadi empuk dagingnya. Varian daging lainnya pun ada …;0
https://lh3.googleusercontent.com/a-/ALV-UjWfVibITQm_37rxGsdPC9zHYXwriOiw20sYRxH6OGukAbo=w45-h45-p-rp-mo-ba4-br100;Mr. Kli;Positive;sebulan lalu;Ini mah tmpat faforite u nge-MALL di Bandung,....;0
